,tweet,likes,date
87,@andyliverbird @JotaBelieveIt I completely agree with you on FSG needing to fix the relationship between them and t… https://t.co/ShulWsTc0Q,1,2021-07-27 07:24:05
88,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-27 07:06:33
89,"This could be a sign the Glazers mean business, having been sparked into action by the European Super League debacl… https://t.co/2Yw7CmhMjq",0,2021-07-27 06:58:40
90,"This could be a sign the Glazers mean business, having been sparked into action by the European Super League debacl… https://t.co/IMHqdSxf97",0,2021-07-27 06:58:39
91,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-27 06:29:29
92,They starved us since 2007 so there’s no gratitude towards them if it were not for them failing to launch the Europ… https://t.co/QNIwlbW5ej,7,2021-07-27 06:08:46
93,RT @JaacksHappyHour: Upon hearing news that the Sidemen are doing a charity match... we decided to put together a Happy Hour FC Squad based…,0,2021-07-27 05:09:12
94,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-27 05:04:10
95,"RT @MSHopkins4: Just announced, that you can't attend any Premier League football matches, if you haven't had the 'shots' by October! Now A…",0,2021-07-27 04:15:33
96,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-27 04:01:42
97,"European Super League..

Damn",3,2021-07-27 03:42:47
98,"@ManUtd don't you dare sleep on us y'all said you were a ""Super Team"" and were ready to join a European Super Leagu… https://t.co/7k2FL8FNTV",0,2021-07-27 03:02:57
99,"I’m so glad the European Super League didn’t go ahead, I know it’s random, but every day I am glad it didn’t go ahead #NoToSuperLeague",1,2021-07-27 02:49:47
130,"It's just like that European super league crap, sure the games might be fun but it destroys the spirit of the game it just goes full NFL",1,2021-07-27 02:32:12
131,"RT @ChrisVannini: The fan backlash to the European Super League was truly inspiring. Tradition mattered. Local rivalries mattered. 

It’s c…",0,2021-07-27 02:29:35
132,@YoMrBogus It was a similar argument against the European Super League that was proposed a few months ago as it wou… https://t.co/w2ATETPNGH,0,2021-07-27 02:03:55
133,@bryce_koon @thecrowdedbooth European Super League beware,1,2021-07-27 01:51:45
134,"@mattySP__ @SpursManDan @jonathanliew Not just that, bring in the European Super League. All other football comps world wide should cease.",3,2021-07-27 01:27:05
