,tweet,likes,date_posted
61,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:13:21
62,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:13:17
63,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:13:17
64,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:12:39
65,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:12:07
66,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:12:00
67,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:11:57
68,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 15:11:36
69,🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in th… https://t.co/ebteUwaydT,162,2021-07-27 15:10:42
70,@CholoColcho @DKostanjsak Get on with the #ESL #EuropeanSuperLeague and all this monopoly will be put to death.,0,2021-07-27 14:11:20
71,"@glanton22 @KTD89 @YankGeordie @DrSquatpump As Allan says ,big6 too signed up to #europeansuperleague and were prep… https://t.co/TbhhnBRk8M",1,2021-07-27 06:55:46
72,"RT @adamblaizelives: @Ap3Journalism @TheUnitedWay99 @ManUnitedZone_ 

Big thanks to Adam Perry for including me in his short documentary.…",0,2021-07-26 16:37:07
73,"RT @adamblaizelives: @Ap3Journalism @TheUnitedWay99 @ManUnitedZone_ 

Big thanks to Adam Perry for including me in his short documentary.…",0,2021-07-26 16:37:07
74,"A special thank you to @adamblaizelives, @dominictaylor6_, @JacobRanson27 and @MAAjournalism for the interviews!… https://t.co/9azbYxFYEh",5,2021-07-26 16:31:25
75,"@Ap3Journalism @TheUnitedWay99 @ManUnitedZone_ 

Big thanks to Adam Perry for including me in his short documentary… https://t.co/w7jDZPnnGN",2,2021-07-26 09:05:21
76,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 22:04:29
77,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 19:20:56
78,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 18:12:40
79,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 17:58:45
80,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 17:36:50
81,"RT @SathyRoksana: Be Confident to complete your Responsibility .
😇😇😇
#DogeDay420 
#Digital #Advertising #agency 
#dcvspbks 
#europeansuperl…",0,2021-07-25 17:30:30
82,@jimwaterson @BBC @Olympics I don’t disagree. Of course that’s a matter for the @iocmedia. It’s the continuation of… https://t.co/D01M6IT2RG,2,2021-07-25 16:20:35
83,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 16:02:16
84,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 15:19:07
85,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 15:13:01
86,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 15:05:13
87,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 14:36:40
88,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 14:27:29
89,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:43:55
90,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:43:29
