,tweet,likes,date_posted
78,"RT @PaulGallant11: Can't believe I am counting days special event coming CAT case.
Our #premierleague you will be found out and when it hap…",0,2021-07-21 08:22:50
79,"RT @PaulGallant11: Can't believe I am counting days special event coming CAT case.
Our #premierleague you will be found out and when it hap…",0,2021-07-21 07:39:07
80,"Can't believe I am counting days special event coming CAT case.
Our #premierleague you will be found out and when i… https://t.co/iAjImxWKo7",8,2021-07-21 07:38:38
81,RT @JosephCFC18: Robbies house after 3 months of arsenal in the super league #europeansuperleague https://t.co/qvAvrW4SSt,0,2021-07-21 02:02:18
82,"#LaLiga join #UEFA and #FIFA in #EuropeanSuperLeague lawsuit! 

https://t.co/RnTpyEsTGN",0,2021-07-19 22:41:42
83,"RT @PerennialPundit: To think #NUFC fans were actually appalled by the idea of a #EuropeanSuperLeague.

I say f*ck the @premierleague and e…",0,2021-07-19 18:57:33
84,"RT @PerennialPundit: To think #NUFC fans were actually appalled by the idea of a #EuropeanSuperLeague.

I say f*ck the @premierleague and e…",0,2021-07-19 18:36:24
85,"RT @PerennialPundit: To think #NUFC fans were actually appalled by the idea of a #EuropeanSuperLeague.

I say f*ck the @premierleague and e…",0,2021-07-19 18:23:11
86,"To think #NUFC fans were actually appalled by the idea of a #EuropeanSuperLeague.

I say f*ck the @premierleague an… https://t.co/0ciVKJpype",36,2021-07-19 18:20:48
87,"RT @hoods53853: Hell nah.
#europeansuperleague #UEFA #iHeartAwards #SuperLeague #video #vairal #tik_tok #foruyou #4upage #coronavirus https…",0,2021-07-18 22:04:29
88,"RT @PaulGallant11: To @OliverDowden our Takeover 
We were in London Friday you were not there 15 months of waiting PART 2 you still say its…",0,2021-07-17 18:10:16
89,"RT @PaulGallant11: To @OliverDowden our Takeover 
We were in London Friday you were not there 15 months of waiting PART 2 you still say its…",0,2021-07-17 17:50:05
90,"RT @PaulGallant11: To @OliverDowden our Takeover 
We were in London Friday you were not there 15 months of waiting PART 2 you still say its…",0,2021-07-17 17:28:23
91,"RT @PaulGallant11: To @OliverDowden our Takeover 
We were in London Friday you were not there 15 months of waiting PART 2 you still say its…",0,2021-07-17 13:10:30
92,RT @swerytd: You've got to hand it to #GBeebies - who'd've thought they'd last longer than the #EuropeanSuperLeague?,0,2021-07-17 12:57:24
93,You've got to hand it to #GBeebies - who'd've thought they'd last longer than the #EuropeanSuperLeague?,7,2021-07-17 12:48:31
94,"Hi Guys, #followme I will #followback #RT #retweet #europeansuperleague #Goldbridge #Goldbridgereacts… https://t.co/0csOniLUP2",0,2021-07-17 12:35:56
95,"RT @PaulGallant11: To @OliverDowden our Takeover 
We were in London Friday you were not there 15 months of waiting PART 2 you still say its…",0,2021-07-17 07:35:15
96,"To @OliverDowden our Takeover 
We were in London Friday you were not there 15 months of waiting PART 2 you still sa… https://t.co/tCR0InkCNF",17,2021-07-17 07:01:28
97,"RT @stevetibbett: new podcast out today on the campaign to stop #europeansuperleague with @LFC @JoeblottJoe 
https://t.co/iNU9JthbIx",0,2021-07-16 13:35:22
98,RT @Anthony04201636: @theMadridZone @elconfidencial If this is Uefa's strategy to tarnish the image of Florentino Perez then it won't work.…,0,2021-07-16 10:12:15
99,"RT @stevetibbett: new podcast out today on the campaign to stop #europeansuperleague with @LFC @JoeblottJoe 
https://t.co/iNU9JthbIx",0,2021-07-16 08:50:34
